unnamed:_0.1,unnamed:_0,restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
2075,2075,Fat Buddha,Casual Dining,4.0,455,10000,Yes,Yes,Chinese,Brigade Road,Cunningham Road
2076,2076,Fat Chef Biryani Wale,"Takeaway, Delivery",3.3,28,4000,Yes,No,Biryani,Bannerghatta Road,Bannerghatta Road
2077,2077,Fatima Bakery,"Bakery, Quick Bites",3.7,14,3000,No,No,Bakery,Brigade Road,Richmond Road
2078,2078,Fatso'S,Cafe,3.8,72,6500,Yes,No,Cafe,Brigade Road,Brigade Road
2079,2079,Fattoush,Casual Dining,4.1,1272,9000,Yes,No,Arabian,"Byresandra,Tavarekere,Madiwala",BTM
2080,2080,Fatty Chang,Quick Bites,3.2,4,3000,Yes,No,Chinese,Kalyan Nagar,HBR Layout
2081,2081,Fava,"Casual Dining, Bar",4.4,2039,12000,No,Yes,Healthy Food,Brigade Road,Lavelle Road
2082,2082,Fava Bistro,"Casual Dining, Bar",4.4,383,15000,Yes,Yes,Mediterranean,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
2083,2083,Fazzito Kitchen,Casual Dining,3.8,210,7000,No,No,North Indian,Indiranagar,Thippasandra
2084,2084,Feast - Sheraton Grand Bangalore Hotel At Brigade...,Fine Dining,4.3,950,20000,No,Yes,North Indian,Malleshwaram,Malleshwaram
2085,2085,Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,Fine Dining,4.5,523,25000,No,Yes,Continental,Whitefield,Whitefield
2086,2086,Feast And Burp,Quick Bites,3.3,4,3000,No,No,North Indian,Bannerghatta Road,Bannerghatta Road
2087,2087,Feast India Co.,Casual Dining,4.2,133,15000,Yes,No,Awadhi,Brigade Road,Cunningham Road
2088,2088,Feastaurant,Casual Dining,3.7,27,8000,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala",HSR
2089,2089,Feaster,Casual Dining,3.8,88,6000,Yes,No,Continental,Hsr,HSR
2090,2090,Feel The Taste,Quick Bites,2.8,40,3000,No,No,Fast Food,Frazer Town,Hennur
2091,2091,Feel@Home,"Takeaway, Delivery",3.6,42,3000,Yes,No,North Indian,Bellandur,Marathahalli
2092,2092,Fenny'S Lounge And Kitchen,"Bar, Casual Dining",4.5,6348,16000,No,Yes,Mediterranean,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
2093,2093,Ferment,"Casual Dining, Bar",2.8,40,10000,No,No,Continental,Banashankari,Banashankari
2094,2094,Fetchpod Cafe,Cafe,2.9,12,5000,No,No,Cafe,Koramangala 4Th Block,Koramangala 6th Block
2095,2095,Fete Home Kitchen,"Takeaway, Delivery",2.8,40,5000,No,No,North Indian,Brookefield,Brookefield
2096,2096,Fiddler'S Green,"Casual Dining, Bar",3.9,74,12000,No,Yes,Continental,Kalyan Nagar,Kalyan Nagar
